id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
3215344,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3215344,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 75 DA 02 B SUR 320 AP 328 TORRE 7,6.220071,-75.597279,Apartamento,66,3,2,0,5,,,485000000,0,2025-01-15T10:29:52.000Z,2025-01-15T10:29:52.000Z,2025-01-15T10:29:52.000Z,TU ESPACIO INMOBILIARIO  S A S
3352027,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3352027,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 75 26 AP 201,6.228311,-75.595498,Apartamento,87,3,2,0,3,,,350000000,0,2025-05-21T15:55:58.000Z,2025-05-21T15:55:58.000Z,2025-05-21T15:55:58.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
3435395,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3435395,Colombia,Antioquia,Medellín,SAN BERNARDO,CL 26 B 69 B 25 INT 309,6.228184,-75.59334,Apartamento,62.0,2,2,0,4,,,380000000,373000,2025-08-06T08:24:39.000Z,2025-08-06T08:24:39.000Z,2025-08-06T08:24:39.000Z,INMOBILIARIA CONSTRUCASAS S.AS
2860023,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2860023,Colombia,Antioquia,Medellín,SAN BERNARDO,CL 24 70 A 22 PISO 1,6.224955,-75.592317,Apartamento,70,3,2,0,3,,,450000000,0,2023-11-25T13:36:33.000Z,2023-11-25T13:36:33.000Z,2023-11-25T13:36:33.000Z,ARRENDAMIENTOS INTEGRIDAD
3224725,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3224725,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 75 29 51 INT 302,6.226158,-75.596005,Apartamento,50,2,1,0,3,,,220000000,0,2025-01-25T10:35:03.000Z,2025-01-25T10:35:03.000Z,2025-01-25T10:35:03.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
2453526,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2453526,Colombia,Antioquia,Medellín,SAN BERNARDO,CARRERA 74   22- 55,6.225913,-75.595264,Apartamento,50,2,2,1,2,,,250000000,0,2022-08-17T10:50:05.000Z,2022-08-17T10:50:05.000Z,2022-08-17T10:50:05.000Z,Arrendamientos Panorama Belen
2341804,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2341804,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 74 A 26 78 AP 501,6.228338,-75.594884,Apartamento,53,3,1,0,3,,,235000000,0,2022-04-25T09:24:14.000Z,2022-04-25T09:24:14.000Z,2022-04-25T09:24:14.000Z,ARRENDAMIENTOS INTEGRIDAD
3408275,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-arriendo-o-venta-en-san-bernardo-medellin-3408275,Colombia,Antioquia,Medellín,SAN BERNARDO,CL 25 79 A 25 INT 201,6.227377,-75.600032,Casa,96,3,2,0,3,,,420000000,0,2025-07-12T10:40:03.000Z,2025-07-12T10:40:03.000Z,2025-07-12T10:40:03.000Z,INMOBILIARIA PROTEBIENES
3382224,ciencuadras,https://www.ciencuadras.com/inmueble/apartaestudio-en-arriendo-o-venta-en-san-bernardo-medellin-3382224,Colombia,Antioquia,Medellín,SAN BERNARDO,calle 19 75 29,6.223572,-75.596981,Apartaestudio,118,3,2,0,4,,,580000000,0,2025-06-18T11:43:27.000Z,2025-06-18T11:43:27.000Z,2025-06-18T11:43:27.000Z,Arrendamientos Panorama Belen
3384135,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3384135,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 72 20 A 56 2 PISO,6.224302,-75.59385,Casa,95,3,2,0,3,,,480000000,0,2025-06-19T14:32:13.000Z,2025-06-19T14:32:13.000Z,2025-06-19T14:32:13.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
