id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
192428996,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-suroriente-medellin/192428996,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CL 25 9 A 31 AP 103,,6.2266158,-75.5940249,Apartamento,152.0,2,3,2,6,Nuevo,0.0,948000000,0,2025-05-21,2025-06-04,2025-05-21,Arrendamientos Mabel Ochoa
192624427,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192624427,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belen Las Playas, Belén, ","Las Playas, Belén, Medellín, Antioquia, Colombia",,6.2201516,-75.595347,Casa,105.0,3,3,1,3,Usado,2.0,495000000,0,2025-07-10,2025-07-25,2025-07-10,GRUPO INMOBILIARIO VALENCIA Y ASOCIADOS
192645352,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192645352,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belén, Belen Las Playas, ","Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",,6.2201516,-75.595347,Casa,88.92,3,3,0,3,Usado,5.0,399000000,0,2025-07-16,2025-08-16,2025-07-16,Miriam Morales
192685412,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192685412,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belen Las Playas, Belén, ","Las Playas, Belén, Medellín, Antioquia, Colombia",,6.2201516,-75.595347,Casa,95.0,3,2,0,3,Usado,4.0,360000000,0,2025-07-26,2025-08-19,2025-07-26,OPCIONES INMOBILIARIAS
10501994,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/10501994,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CALLE 22 # 71A-21,,6.2246048,-75.5935766,Casa,133.0,5,3,0,3,Usado,2.0,415000000,0,2024-01-26,2025-08-07,2024-01-26,Inmobiliaria Tobon
10502038,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/10502038,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belen Las Playas, Belén, Belén San Bernardo, ",Calle 20A # 72-22,,6.2239723,-75.5941041,Casa,85.0,4,2,0,3,Usado,4.0,380000000,0,2024-01-26,2025-08-07,2024-01-26,Inmobiliaria Tobon
192593408,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-de-los-bernal-medellin/192593408,Colombia,Antioquia,Medellín,"Loma de los bernal, Belén Aliadas, Belén, La gloria, Belén San Bernardo, ",Carrera 84 b numero 7-188 apart 202 estrato4,,6.2261742506726,-75.600536556409,Apartamento,62.0,1,2,0,4,Usado,3.0,320000000,80000,2025-07-02,2025-08-05,2025-07-02,ALFA FINCA RAIZ INMOBILIARIA SAS
192661142,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-aeroparque-juan-pablo-ii-medellin/192661142,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, Aeroparque juan pablo ii, ","Calle 25 #70a-36, Medellín, Antioquia, Colombia",,6.2262107,-75.5921336,Casa,85.0,3,2,0,3,Nuevo,0.0,420000000,0,2025-07-20,2025-07-20,2025-07-20,johny alexander marulanda florezMarulanda
192609625,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/192609625,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CL 24  73 31 APT 402 INTERNO,,6.226252,-75.594772,Apartamento,66.0,2,1,0,3,Usado,5.0,360000000,0,2025-07-07,2025-08-16,2025-07-07,Maxibienes S.A.S
191940310,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191940310,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",calle 20 # 74 - 36,,6.2241603,-75.5958806,Apartamento,147.0,5,2,0,3,Usado,4.0,560000000,0,2025-01-29,2025-07-04,2025-01-29,Casa Vida Asesores Inmobiliarios
191986797,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191986797,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CALLE 16   75- 24,,6.2272218,-75.5960925,Apartamento,70.0,3,2,0,3,Usado,2.0,360000000,0,2025-02-07,2025-07-04,2025-02-07,INDIKA INMOBILIARIA SAS
192474566,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/192474566,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Calle 23 # 71A-80, Medellín, Antioquia, Colombia",,6.225396,-75.593748,Casa,115.0,4,2,1,3,Usado,4.0,510000000,0,2025-05-31,2025-05-31,2025-05-31,ARRENDAMIENTOS MEDELLIN
192457817,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-mota-medellin/192457817,Colombia,Antioquia,Medellín,"La mota, Belén Aliadas, Belén, La gloria, Belén San Bernardo, ",CL 21 # 75 - 58,,6.2251763850735,-75.596843093884,Casa,119.0,3,2,1,3,Usado,3.0,620000000,0,2025-05-27,2025-05-27,2025-05-27,La Fuente Inmobiliaria
191507488,fincaraiz,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-belen-medellin/191507488,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",Calle 25 # 71 16,,6.2264596,-75.5926755,Apartaestudio,120.0,3,2,0,3,Usado,5.0,322000000,0,2024-09-30,2025-07-03,2024-09-30,Grupo Empresarial Mi
191986243,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-mota-medellin/191986243,Colombia,Antioquia,Medellín,"La mota, Diego echavarria, Belén, Belen Las Playas, Aeroparque juan pablo ii, ","Cra. 70b # 9a 34, Medellín, Antioquia, Colombia",,6.2172678,-75.5938691,Casa,225.0,3,4,2,5,Usado,4.0,1050000000,300000,2025-02-07,2025-08-03,2025-02-07,Gómez Sierra Propiedades
191943178,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-salvador-medellin/191943178,Colombia,Antioquia,Medellín,"El salvador, Belén Aliadas, Belén, Belen La Palma, Belén San Bernardo, La gloria, ","EL SALVADOR, MEDELLIN.",,6.2267153,-75.6002248,Apartamento,30.0,1,1,0,3,Usado,4.0,120000000,0,2025-01-30,2025-07-04,2025-01-30,Arrendamientos Alnago
191877768,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191877768,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CL 22 74 39 INT 301,,6.2245080427207,-75.593093265129,Apartamento,98.0,3,1,0,3,Nuevo,0.0,320000000,0,2025-01-15,2025-07-04,2025-01-15,Arrendamientos El Castillo S.A.S
191484182,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191484182,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, Aeroparque juan pablo ii, ",CARRERA 70   25- 73,,6.2267114,-75.5914712,Apartamento,93.0,2,2,1,4,Usado,5.0,420000000,80000,2024-09-26,2025-07-03,2024-09-26,INDIKA INMOBILIARIA SAS
191316104,fincaraiz,https://www.fincaraiz.com.co/bodega-en-venta-en-belen-medellin/191316104,Colombia,Antioquia,Medellín,"Belén, Granada, Belén San Bernardo, ",CR 73A#26 -15,,6.227831,-75.5941471,Bodega,335.0,0,3,0,4,Usado,5.0,1400000000,0,2024-09-04,2025-07-02,2024-09-04,Alberto Alvarez Ventas
191228793,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191228793,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",Carrera 76 A #26 -13,,6.227761016333,-75.597018997929,Apartamento,51.0,2,1,0,3,Usado,4.0,270000000,50000,2024-08-16,2025-07-28,2024-08-16,Arrendamientos las vegas
192643660,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/192643660,Colombia,Antioquia,Medellín,"Belén, Belen Las Playas, ",Cra. 76 #12-100,,6.2212496,-75.5984222,Casa,105.0,4,4,3,0,Usado,5.0,1100000000,0,2025-07-15,2025-08-04,2025-07-15,Tu360Inmobiliario en colaboración con Pulppo
7579739,fincaraiz,https://www.fincaraiz.com.co/local-en-venta-en-belen-medellin/7579739,Colombia,Antioquia,Medellín,"Belen Las Playas, Belén, Aeroparque juan pablo ii, ",Carrera 76 # 24-05,,6.2200663,-75.5928686,Local,520.0,1,5,11,5,Usado,4.0,2500000000,0,2022-09-07,2025-07-02,2022-09-07,Arrendamientos Giraldo Posada
192310248,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-mota-medellin/192310248,Colombia,Antioquia,Medellín,"Diego echavarria, Rodeo Alto, Belén, La mota, ",DG 75B # 6 - 60,,6.2170016936894,-75.597827946558,Apartamento,95.0,3,3,1,5,Nuevo,,500000000,660000,2025-04-25,2025-04-25,2025-04-25,Payva Asociados SAS
191921481,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-granada-medellin/191921481,Colombia,Antioquia,Medellín,"Granada, Belén, Belén San Bernardo, ",CR 75 29 51 INT 302,,6.226157514032,-75.596005217688,Apartamento,50.0,2,1,0,3,Nuevo,0.0,220000000,0,2025-01-25,2025-07-04,2025-01-25,Arrendamientos El Castillo S.A.S
192658815,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192658815,Colombia,Antioquia,Medellín,"Belén, Belen Las Playas, Aeroparque juan pablo ii, ",CL 13 70 34 PISO 1 CS,,6.2196285,-75.5927289,Casa,92.0,3,2,0,3,Nuevo,0.0,372000000,0,2025-07-19,2025-07-21,2025-07-19,Arrendamientos El Castillo S.A.S
192531000,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/192531000,Colombia,Antioquia,Medellín,"Urbanizacion san bernardo, Granada, Belén, Belén San Bernardo, ",CL 26 B 83 B 13 PISO 1,,6.2281836,-75.59334,Apartamento,67.0,2,2,0,0,Nuevo,0.0,200000000,0,2025-06-14,2025-07-01,2025-06-14,Arrendamientos El Castillo S.A.S
11016840,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/11016840,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CL 25 75 51 PISO 1,,6.2266319,-75.5940908,Casa,179.0,4,4,0,3,Nuevo,0.0,650000000,0,2024-06-27,2025-07-24,2024-06-27,Activos Y Bienes SAS
192622395,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192622395,Colombia,Antioquia,Medellín,"Belen Las Playas, Belén, ",CARRERA 71 # 16-36,,6.221778967353,-75.593297962249,Casa,84.0,2,1,1,3,Usado,4.0,450000000,0,2025-07-10,2025-07-28,2025-07-10,Arrendamientos las vegas
191385559,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-gloria-medellin/191385559,Colombia,Antioquia,Medellín,"Belén Aliadas, Belén, La gloria, ",CL 18 A 77 28 PISO 2,,6.223456,-75.5991521,Casa,133.0,3,2,0,4,Nuevo,0.0,415000000,0,2024-09-13,2025-07-29,2024-09-13,Arrendamientos Villacruz
192099190,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-medellin/192099190,Colombia,Antioquia,Medellín,"Granada, Belén, Belén San Bernardo, ","Belén San Bernardo Carrera 74 A # 26 - 78, 5to piso",,6.2283007,-75.5948737,Apartamento,53.0,3,1,0,3,Usado,3.0,235000000,0,2025-03-04,2025-07-07,2025-03-04,SURAMERICANA DE ARRENDAMIENTOS S.A.
192755562,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192755562,Colombia,Antioquia,Medellín,"Belén, Belen Las Playas, Aeroparque juan pablo ii, Belén San Bernardo, ",Belen Calle 18#71-33,,6.2223600707486,-75.59284532015,Casa,95.0,4,2,0,3,Usado,3.0,515000000,0,2025-08-14,2025-08-19,2025-08-14,ALFA FINCA RAIZ INMOBILIARIA SAS
