id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
3267-M5951680,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-4-habitaciones-3-banos/3267-M5951680,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.22732,-75.59573,Apartamento,120.0,4.0,3,0,3,Usado,Entre 10 y 20 años,500000000,,2025-08-20T03:10:09.000Z,2025-08-20T12:24:17.000Z,2025-07-22T14:28:28.000Z,
3267-M5452674,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-3-habitaciones-3-banos-1-garajes/3267-M5452674,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22833,-75.59781,Casa,97.7,3.0,3,1,4,Usado,Más de 20 años,590000000,495000.0,2025-04-04T16:38:24.000Z,2025-08-20T12:24:17.000Z,2024-12-04T10:17:02.000Z,
17080-M5742393,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-2-habitaciones-1-banos/17080-M5742393,Colombia,Antioquia,Medellín,BELEN,,,6.227697,-75.5941519,Apartamento,46.0,2.0,1,0,4,Usado,Entre 10 y 20 años,250000000,,2025-07-30T09:48:26.000Z,2025-08-20T13:57:44.000Z,2025-05-08T14:30:43.000Z,
16187-M4517594,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-diego-echavarria-3-habitaciones-2-banos-1-garajes/16187-M4517594,Colombia,Antioquia,Medellín,DIEGO ECHAVARRIA,,Suroccidente,6.21699929,-75.59793397,Apartamento,89.0,3.0,2,1,5,Usado,Más de 20 años,430000000,660000.0,2025-08-04T09:24:43.000Z,2025-08-20T14:03:22.000Z,2023-08-10T17:59:39.000Z,
18237-M5427398,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-4-habitaciones-3-banos-2-garajes/18237-M5427398,Colombia,Antioquia,Medellín,SAN BERNARDO,,,6.2236838,-75.5936531,Apartamento,220.0,4.0,3,2,3,Usado,Más de 20 años,1000000000,250000.0,2025-08-10T03:10:23.000Z,2025-08-20T13:37:12.000Z,2024-11-22T09:36:38.000Z,
18237-M5483011,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-granada-3-habitaciones-1-banos-1-garajes/18237-M5483011,Colombia,Antioquia,Medellín,GRANADA,,,6.2292297,-75.5940045,Apartamento,93.0,3.0,1,1,3,Usado,Entre 0 y 5 años,370000000,,2025-08-06T03:10:31.000Z,2025-08-20T13:37:12.000Z,2024-12-17T09:52:10.000Z,
18237-M5701214,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-5-habitaciones-2-banos/18237-M5701214,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2241603,-75.5958806,Apartamento,147.0,5.0,2,0,3,Usado,Más de 20 años,560000000,,2025-08-09T03:10:20.000Z,2025-08-20T13:37:12.000Z,2025-04-15T12:39:49.000Z,
12792-M5652058,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-3-habitaciones-2-banos/12792-M5652058,Colombia,Antioquia,Medellín,BELEN,,,6.224683,-75.592842,Casa,93.0,3.0,2,0,3,Usado,Más de 20 años,340000000,,2025-08-12T14:49:24.000Z,2025-08-20T14:01:52.000Z,2025-03-19T10:42:40.000Z,
18237-M5948554,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-2-habitaciones-1-banos/18237-M5948554,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.2266114046,-75.593791008,Apartamento,50.0,2.0,1,0,3,Usado,Entre 10 y 20 años,290000000,,2025-08-19T03:10:09.000Z,2025-08-20T13:37:12.000Z,2025-07-21T02:45:52.000Z,
18237-M5952490,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-la-gloria-3-habitaciones-2-banos/18237-M5952490,Colombia,Antioquia,Medellín,BELEN LA GLORIA,,,6.2240155,-75.5981252,Casa,128.8,3.0,2,0,4,Usado,Más de 20 años,590000000,,2025-08-20T03:10:10.000Z,2025-08-20T13:37:12.000Z,2025-07-22T19:58:53.000Z,
18237-M5959909,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-2-banos/18237-M5959909,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22552797,-75.59551638,Apartamento,72.0,3.0,2,0,4,Usado,Entre 0 y 5 años,380000000,,2025-07-25T21:26:47.000Z,2025-08-20T13:37:12.000Z,2025-07-25T21:26:47.000Z,
18237-M5797701,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-3-habitaciones-2-banos/18237-M5797701,Colombia,Antioquia,Medellín,LAS PLAYAS,,,6.2194648,-75.5955031,Apartamento,80.0,3.0,2,0,4,Usado,Más de 20 años,400000000,,2025-08-04T03:10:15.000Z,2025-08-20T13:37:12.000Z,2025-06-07T19:10:45.000Z,
18237-M5983338,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-san-bernardo-4-habitaciones-3-banos-1-garajes/18237-M5983338,Colombia,Antioquia,Medellín,BELEN SAN BERNARDO,,,6.2254669342,-75.5955637855,Apartamento,150.0,4.0,3,1,4,Usado,Más de 20 años,600000000,,2025-08-08T15:02:33.000Z,2025-08-20T13:37:12.000Z,2025-08-08T15:02:33.000Z,
12792-M5022223,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-diego-echavarria-5-habitaciones-3-banos-1-garajes/12792-M5022223,Colombia,Antioquia,Medellín,DIEGO ECHAVARRIA,,Suroccidente,6.2182488441467285,-75.59784698486328,Casa,260.0,5.0,3,1,3,Usado,Más de 20 años,900000000,0.0,2025-08-01T03:10:13.000Z,2025-08-20T14:01:52.000Z,2024-06-21T13:42:34.000Z,
12792-M5611059,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-2-banos/12792-M5611059,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22683155,-75.60033021,Casa,116.0,5.0,2,0,3,Usado,Más de 20 años,550000000,,2025-08-13T03:10:09.000Z,2025-08-20T14:01:52.000Z,2025-02-26T19:13:26.000Z,
2895-M4811489,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-5-banos/2895-M4811489,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2248535,-75.5965302,Apartamento,100.0,3.0,5,0,5,Usado,Más de 20 años,550000000,385000.0,2025-08-04T03:10:10.000Z,2025-08-20T13:04:22.000Z,2024-02-17T11:23:07.000Z,
